FID	IID	phenotype
HG00096	HG00096	4.369723482450623
HG00097	HG00097	-2.6334979152299325
HG00099	HG00099	0.5649261473093221
HG00100	HG00100	-0.994563044674492
HG00101	HG00101	-0.4050539546975257
HG00102	HG00102	-1.9120925932400703
HG00103	HG00103	-1.4180933520304924
HG00105	HG00105	-5.042592622006328
HG00106	HG00106	0.9900730116531983
HG00107	HG00107	1.543576721490805
HG00108	HG00108	1.3116971316757382
HG00109	HG00109	-0.6395219928751305
HG00110	HG00110	0.43677679707228856
HG00111	HG00111	3.114699225752731
HG00112	HG00112	3.2503810860365223
HG00113	HG00113	5.6895624521087775
HG00114	HG00114	-4.694334632251342
HG00115	HG00115	2.584473140313933
HG00116	HG00116	0.8727792837126995
HG00117	HG00117	-0.4323247961297958
HG00118	HG00118	4.026713531997789
HG00119	HG00119	0.8344144528504343
HG00120	HG00120	-1.5663755691461492
HG00121	HG00121	0.6411676779221278
HG00122	HG00122	3.7675324288875056
HG00123	HG00123	0.8449693563480566
HG00125	HG00125	3.2067224232474643
HG00126	HG00126	1.8737075637092404
HG00127	HG00127	0.1073976407277848
HG00128	HG00128	-0.1470378153899219
HG00129	HG00129	0.3119034538316094
HG00130	HG00130	2.229511546185708
HG00131	HG00131	-2.392774670028233
HG00132	HG00132	4.362576838473567
HG00133	HG00133	-1.607002244251828
HG00136	HG00136	2.4980321376948593
HG00137	HG00137	-0.4222323867005737
HG00138	HG00138	2.4365046527958243
HG00139	HG00139	2.2130689807812667
HG00140	HG00140	4.316927389564689
HG00141	HG00141	5.1701037240275145
HG00142	HG00142	1.3809475164153557
HG00143	HG00143	0.5109295410774605
HG00145	HG00145	4.033223079453574
HG00146	HG00146	-2.320345591127381
HG00148	HG00148	0.6655009488978327
HG00149	HG00149	-0.903609631071282
HG00150	HG00150	-2.831053175378991
HG00151	HG00151	2.1658749922798104
HG00154	HG00154	2.4128961199340377
HG00155	HG00155	1.1168245131003807
HG00157	HG00157	3.668749780628227
HG00158	HG00158	-1.3208257212439058
HG00159	HG00159	2.3174875099370817
